Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C17, C18, C2",0402,4,12p,C526985
"C10, C13, C22",0402,3,NC,~
C11,0402,1,100p,C106200
"C12, C5, C7, C8",0402,4,100n,C60474
"C14, C15, C27, C32, C33",0603,5,1u,C559769
C16,0402,1,47n,C327054
"C20, C21, C6",0603,3,4.7u,C277476
C28,0603,1,2.2u,C309478
"C29, C30, C31",0603,3,10u,C596327
C3,0402,1,0.8p,C326068
C4,0402,1,0.5p,C327230
C9,0402,1,820p,C726612
D2,LED-SMD_4P-L1.6-W1.5-TR-1,1,LED_RGB,C3029071
E1,SON-6_L1.4-W1.0-P0.50-TL_USBULC6-2M6,1,TPD2E001DRYR-TP,C2923399
J1,FPC-SMD_24P-P0.50_TF38-24S-0.5SV-830,1,TF38-24S-0.5SV(830),C3020653
J2,CONN-SMD_2P-P1.00_SM02B-SRSS-TB-LF-SN,1,S2B-PH-SM4-TB(LF)(SN),C160402
J5,CONN-TH_726386-2,1,726386-2,C305817
L1,0402,1,4.7n,C304335
L2,0603,1,10u,C86083
L3,0402,1,15n,C381880
L4,1008,1,2.2u,C5349606 
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,DMP2123LQ,C3647032
R1,0402,1,10k,C25744
R10,0402,1,470k,C25792
"R8, R9",0402,2,5.1k,C25905
SW90,SW-SMD_L3.9-W3.0-P4.45,1,SW_Push,C720477
U1,AQFN50P700X700X85_HS-74N,1,NRF52840,C190794
U2,Nordic_QFN50P500X500X90-33N,1,nPM1300-QEAA,C7466043
USBC1,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,C255896
Y2,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768 kHz,C99010
