Designator,Mid X,Mid Y,Rotation,Layer
BT1,191.5,-78.5,0.0,top
C1,137.91,-79.0,0.0,top
C10,143.65,-79.0,0.0,top
C11,143.65,-80.97,0.0,top
C12,143.65,-82.94,0.0,top
C13,143.65,-84.91,0.0,top
C14,123.54,-81.78,0.0,top
C15,123.54,-84.29,0.0,top
C16,146.52,-79.0,0.0,top
C17,146.52,-80.97,0.0,top
C18,146.52,-82.94,0.0,top
C2,137.91,-80.97,0.0,top
C20,123.54,-86.8,0.0,top
C21,127.55,-79.27,0.0,top
C22,146.52,-84.91,0.0,top
C27,127.55,-81.78,0.0,top
C28,127.55,-84.29,0.0,top
C29,127.55,-86.8,0.0,top
C3,137.91,-82.94,0.0,top
C30,131.56,-79.27,0.0,top
C31,131.56,-81.78,0.0,top
C32,131.56,-84.29,0.0,top
C33,131.56,-86.8,0.0,top
C4,137.91,-84.91,0.0,top
C5,140.78,-79.0,0.0,top
C6,123.54,-79.27,0.0,top
C7,140.78,-80.97,0.0,top
C8,140.78,-82.94,0.0,top
C9,140.78,-84.91,0.0,top
D2,99.405,-80.15,0.0,top
E1,134.0,-57.86,0.0,top
J1,82.25,-89.85,0.0,top
J2,63.0,-88.5,0.0,top
J4,119.24,-84.12,0.0,top
J5,55.5,-98.0,0.0,top
L1,135.02,-79.01,0.0,top
L2,102.75,-93.24,0.0,top
L3,135.02,-81.0,0.0,top
L4,129.06,-93.19,0.0,top
Q1,106.0,-54.95,180.0,top
R1,135.02,-82.99,0.0,top
R10,135.02,-88.96,0.0,top
R8,135.02,-84.98,0.0,top
R9,135.02,-86.97,0.0,top
SW90,108.325,-80.28,0.0,top
U1,75.0,-74.5,0.0,top
U2,91.049995,-74.74999,0.0,top
USBC1,74.5,-60.4725,0.0,top
Y1,117.3,-56.55,0.0,top
Y2,124.06,-92.99,0.0,top
